ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
AMAUSI ZONE,EDC LUCKNOW RURAL,MALIHABAD,DIV302646,"malihabad tehsil,mirzaganj,galla mandi, gaunda mo\aujjam nagar, amdabad, katauli,chandpur,",257,3438,8,151,608381.9,6243978.46,1,3,2862,84,3106,1190,2581,7,0,6,0,3736194,52,52,852,3560,272,3671,2843,1383,59.8%,48.6%
AMAUSI ZONE,EDC LUCKNOW RURAL,NADAR GANJ,DIV302641,"gehroo, piparsand, banthara, jairajpuri , darogakheda, neewa, aurawa, rashulpur",3171,13355,16,355,4032194.76,-2907084814,0,15,13709,110,13472,4953,11668,32,0,16,0,19041568.78,78,78,2136,13710,520,13710,13418,6496,-0.7%,48.4%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_ALAMBAGH,DIV302671,"chota barha, asarfi",2223,4332,131,341,1937422.2,15559721.67,0,5,4666,15,4596,947,4434,65,0,5,0,12678379.41,1,1,191,4673,11,4673,4557,3703,81.5%,81.3%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_ALAMBAGH,DIV302671,"old sardari khera, koritana ,sujanpura, anand nagar ,bada barha",859,2692,39,345,1448759.14,8131141.08,0,3,3033,18,2967,933,2803,61,0,2,0,9486125,0,0,184,3037,30,3037,2957,2180,116.7%,73.7%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_ALAMBAGH,DIV302671,"pooran nagar, amrudibagh, sneh nagar metro",596,2064,39,395,1356620.93,12291492.25,0,7,2455,7,2440,883,2345,16,0,1,0,9334215.8,0,0,189,2459,2,2459,2448,1848,75.9%,75.5%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_VRINDAVAN,DIV302673,sarada nagar,3043,5909,100,1011,2771479.03,23008177.96,0,4,6918,29,6878,1762,6330,206,0,1,0,15296086.69,2,2,658,6920,2,6920,6644,4518,66.5%,68.0%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_VRINDAVAN,DIV302673,vrindavan yojna,329,3259,52,931,2028544.11,19121858.73,0,11,4187,29,4168,1707,3684,50,0,3,0,13769437.44,1,1,293,4190,1,4190,3928,3178,72.0%,80.9%
AYODHYA ZONE,EDC AKBARPUR,EDD ALAPUR,DIV324734,"bahuddinpur,dekwa, kajipur,semra nasirpur,vajdahiya piepur, tandwa",48,10304,0,55,1266567.87,7949359.2299999995,0,0,10359,96,9352,2310,9015,15,0,0,0,3154453,1738,1738,3612,10358,909,10359,10314,2413,39.7%,23.4%
AYODHYA ZONE,EDC AKBARPUR,EDD JALALPUR,DIV324733,"rannu kha ka pura,vazidpur,usmapur nagpur, chilwaniya, jaffarpur",1475,5835,3,73,1230240.11,18475684.88,1,2,5908,1,5528,1114,4934,3,0,0,0,6673363,357,357,1348,5908,0,5908,5768,2815,36.1%,48.8%
AYODHYA ZONE,EDC AKBARPUR,EDD-AMBEDKARNAGAR,DIV324731,"patoha ganepur,haripalpur,kalepur mahuval,tarakhurd,saidpur bhitri, jafarganj,nasirpur kaithi,sadarpur, saidapur, kakardila ,",341,8912,9,91,1731366.85,17392755.61,3,9,8872,53,8311,1098,7452,10,0,9,0,3641394,2110,2110,3744,8880,711,9003,8831,1421,20.9%,16.1%
AYODHYA ZONE,EDC AKBARPUR,EDD_TANDA,DIV324732,"iltifatganj ,vidhut nagar,makhdumpur,kedar nagar",49,6142,1,83,806767.95,7044389.13,0,0,6221,75,5944,1900,5637,3,0,2,0,2649387,819,819,1859,6196,1328,6225,6196,1761,37.6%,28.4%
AYODHYA ZONE,EDC AKBARPUR,EDD_TANDA,DIV324732,"vidyut nagar, makhdoomnagar, khairpur",623,2384,0,48,520184.67,4990671.76,0,0,2432,28,2320,110,1953,4,0,10,0,1481822,202,202,984,2432,544,2432,2396,725,29.7%,30.3%
AYODHYA ZONE,EDC AYODHYA,EDD-AYODHYA DHAM AYODHYA,DIV324611,"devkali village, sidharath nagar, mirzapur,deen dayal nagar, dhani ram ka purva, sriswtipuram phase-2 , adard nagar, saketpuri, sahajahapur",31,3558,4,243,1600022.43,12408110.66,0,6,3800,2,3770,1541,3370,10,0,0,0,10245122,5,5,404,3801,0,3801,3751,2326,82.6%,62.0%
AYODHYA ZONE,EDC AYODHYA,EDD-AYODHYA DHAM AYODHYA,DIV324611,"ghusiyana, durgapuri, jogitara, tribhavan nagar, janeura, patel nagar, naka chugi, gandhi nagar, hanumat nagar, girijapuram, krishana nagar, gulab nagar, tilak nagar, brahman tola",1072,3369,13,230,2357007.77,24469401.06,0,13,3599,13,3492,833,3141,29,0,6,0,9426992.7,45,45,792,3429,9,3599,3527,1826,38.5%,51.8%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"bahamani thola , fayadpur , pachghara ,lohargali , mahaveer marga, sai abazar",476,1220,2,13,275093.46,2146856.98,0,0,1195,5,1210,89,1051,5,0,2,0,855770.62,20,20,274,1232,75,1233,1186,419,39.9%,35.3%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"baina , gagauali , anwari, amarsanda , tikarhar , kallupurwa",23,5925,0,51,1114683.21,8968297.65,0,1,5600,143,5530,227,2650,5,0,0,0,1870533,712,712,2562,5976,866,5976,5581,739,20.9%,13.2%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"patel chauh\raha , kazipur 1/2/3 dyaram bhag , matamalim bhag",653,3765,12,74,831747.39,6460726.4799999995,0,2,3506,73,3723,450,3165,4,0,5,0,3389442.36,136,136,995,3835,320,3839,3480,1340,52.5%,38.5%
AYODHYA ZONE,EDC BARABANKI,EDD HAIDERGARH,DIV324525,"foolmati, malviya nagar, paschim katra etc",706,2021,3,47,392164.97,2880840.02,1,2,2061,12,1943,86,1998,2,0,0,0,1449973,146,146,491,2068,366,2068,2054,601,50.3%,29.3%
AYODHYA ZONE,EDC BARABANKI,EDD HAIDERGARH,DIV324525,"kothi bazar, madarpur, chhatauni, ramdeenpurwa",6,2317,2,27,318423.75,2518167.6,0,0,2343,1,2179,165,2298,2,0,1,0,1076203,113,113,443,2344,199,2344,2341,824,42.7%,35.2%
AYODHYA ZONE,EDC BARABANKI,EDD HAIDERGARH,DIV324525,"patti ward, hasanpur, haveli ward,",510,2161,0,34,319810.08,2370343.55,0,1,2192,1,1991,206,2146,1,0,0,0,1021522,149,149,502,2194,369,2195,2183,647,43.1%,29.6%
AYODHYA ZONE,EDC BARABANKI,EDD-RAMNAGAR BARABANKI,DIV324523,"lakhraura, kadirabad, purani tehsil",837,3473,3,52,941093.41,7651177.64,0,2,3524,107,3274,63,3161,9,0,22,0,2855610,255,255,1019,3525,533,3525,3459,781,37.3%,22.6%
AYODHYA ZONE,EDC BARABANKI,EDD-RAMNAGAR BARABANKI,DIV324523,"surjanpur, amera, gulariya, bairagipur, fajehtapur",4,4410,0,15,496204.25,5403995.05,0,1,4425,171,4034,322,3998,2,0,0,0,673052,1771,1771,2752,4425,647,4425,4414,299,12.5%,6.8%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,dariyabad town,574,3816,5,42,662942.55,5756790.27,1,3,3858,0,3651,867,3442,4,0,0,0,3452714.21,151,151,599,3819,540,3858,3817,1708,60.0%,44.7%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,tikaitnagar town,750,1968,1,45,514762.71,4624907.39,0,3,1997,11,1975,146,1889,3,0,1,0,2995489,96,96,385,2013,215,2013,1984,639,64.8%,32.2%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,zaidpur-i_32452110001zpr,302,3467,3,46,628315.11,5818223.58,0,1,3417,5,3389,1380,3188,3,0,4,0,5263950.4,34,34,531,3513,2,3513,3402,1783,90.5%,52.4%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,zaidpur-ii_32452110001zdi,21,1562,2,17,310316.23,2816531.66,0,0,1579,4,1546,634,1438,4,0,2,0,2283660,100,100,416,1579,8,1579,1570,761,81.1%,48.5%
AYODHYA ZONE,EDC GAURIGANJ,EDD AMETHI,DIV324852,"ratapur, ghoraha lal shah bhadar masha parsoiya",295,3212,1,216,497220.96,4904405.12,0,0,3175,31,3128,73,2006,8,0,1,0,1468619,322,322,1415,3363,113,3428,3160,522,29.9%,16.5%
AYODHYA ZONE,EDC GAURIGANJ,EDD JAGDISHPUR,DIV324854,"mahona kasba, kisni, barsnda",230,755,0,5,221291.72,1795734.22,0,0,751,38,719,4,536,0,0,1,0,145246,124,124,363,753,101,760,728,79,8.1%,10.9%
AYODHYA ZONE,EDC GAURIGANJ,EDD TILOEE,DIV324853,"gandhinagar,kashimpur, hatwa, lala ka purwa, kajipur, naya ka purwa, makdumnagar",167,1157,2,11,160971.82,1542659.96,0,0,1168,20,1123,201,985,0,0,0,0,675011,106,106,256,1168,166,1168,1149,399,43.8%,34.7%
AYODHYA ZONE,EDC GAURIGANJ,EDD TILOEE,DIV324853,nalapar,1,1,0,0,50,366.92,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0.0%,0.0%
AYODHYA ZONE,EDC GAURIGANJ,EDD TILOEE,DIV324853,"satan ka purwa,semrauta,khekharuwa,,akabarpur farsi,kotwa mohamdabad,shivrataganj.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0%,0.0%
AYODHYA ZONE,EDC SULTANPUR,EDD JAISINGHPUR,DIV324845,"kurebhar bazar,guptargunj,purkhipur, dhanpatgunj,seur",1958,5970,6,120,1280394.48,3275150.9400000004,0,7,6066,92,5511,183,5619,35,0,1,0,3948821.65,1241,1241,2691,6065,253,6090,6010,1223,120.6%,20.3%
AYODHYA ZONE,EDC SULTANPUR,EDD KADIPUR,DIV324844,"kadipur tehesil, kadipur town, midila, dostpur town, khalispur dingur, block chauraha, surapur markat, saraiya market",2032,8353,23,153,2454046.89,21257365.2,0,3,8500,139,8028,450,7318,20,0,71,0,5065103.7,1226,1226,3864,8187,932,8506,8318,1895,23.8%,22.8%
AYODHYA ZONE,EDC SULTANPUR,EDD KADIPUR,DIV324844,nalapar,28,34,0,0,5897.9,50115.93,0,0,34,0,34,0,30,0,0,0,0,4771,0,0,10,31,4,34,31,7,9.5%,22.6%
AYODHYA ZONE,EDC SULTANPUR,EDD LAMBUA,DIV324843,lambhua tehsil,107,1458,4,31,412292.71,3518417.49,0,1,1489,10,1442,217,1311,6,0,3,0,1847269,244,244,536,1489,132,1489,1489,469,52.5%,31.5%
AYODHYA ZONE,EDC SULTANPUR,EDD LAMBUA,DIV324843,nalapar,34,427,1,5,136584.11000000002,851552.45,0,0,432,4,416,52,379,0,0,3,0,336796,63,63,153,432,46,432,432,128,39.6%,29.6%
AYODHYA ZONE,EDC SULTANPUR,EDD LAMBUA,DIV324843,"ramganj, raipur",250,1365,0,21,548274.66,2778109.21,0,1,1386,15,1346,69,1204,11,0,1,0,1457249.43,276,276,627,1384,129,1386,1386,334,52.5%,24.1%
