ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
AMAUSI ZONE,EDC LUCKNOW RURAL,MALIHABAD,DIV302646,"malihabad tehsil,mirzaganj,galla mandi, gaunda mo\aujjam nagar, amdabad, katauli,chandpur,",246,3438,8,151,582912.48,5684975.62,1,3,2865,95,3101,1210,2583,4,0,6,0,4854884,55,55,848,3559,273,3671,2792,1497,85.4%,53.6%
AMAUSI ZONE,EDC LUCKNOW RURAL,NADAR GANJ,DIV302641,"gehroo, piparsand, banthara, jairajpuri , darogakheda, neewa, aurawa, rashulpur",3104,13352,15,354,3506809.09,28865503.29,0,15,13705,157,13448,5127,11427,29,0,19,0,22123698.95,85,85,2025,13701,529,13706,13055,6993,76.6%,53.6%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_ALAMBAGH,DIV302671,"chota barha, asarfi",2230,4333,130,340,1921916,11716825.879999999,0,5,4673,11,4591,1003,4446,69,0,1,0,15057260.97,1,1,155,4673,11,4673,4570,3932,128.5%,86.0%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_ALAMBAGH,DIV302671,"old sardari khera, koritana ,sujanpura, anand nagar ,bada barha",855,2693,39,344,1403992,12440143.07,0,3,3037,10,2960,895,2695,72,0,1,0,11461737,0,0,157,3037,30,3037,2906,2346,92.1%,80.7%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_ALAMBAGH,DIV302671,"pooran nagar, amrudibagh, sneh nagar metro",595,2066,36,393,1214463.64,11399679.1,0,7,2459,12,2439,906,2323,12,0,0,0,10579581,0,0,161,2459,2,2459,2426,2015,92.8%,83.1%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_VRINDAVAN,DIV302673,sarada nagar,3035,5914,98,1006,2640863.5,21777746.38,0,4,6920,20,6869,1793,6269,236,0,2,0,17498684.91,2,2,602,6920,2,6920,6549,4789,80.4%,73.1%
AMAUSI ZONE,EUDC VRINDAVAN,EUDD_VRINDAVAN,DIV302673,vrindavan yojna,326,3265,51,925,1796960.8,17725590.08,0,11,4190,40,4166,1714,3689,59,0,2,0,14376754.01,1,1,281,4190,2,4190,3922,3318,81.1%,84.6%
AYODHYA ZONE,EDC AKBARPUR,EDD ALAPUR,DIV324734,"bahuddinpur,dekwa, kajipur,semra nasirpur,vajdahiya piepur, tandwa",33,10253,0,55,1432684.57,10407323.17,0,0,10308,530,9296,2140,8187,17,0,0,0,3779974,1746,1746,3539,10307,909,10308,9878,2670,36.3%,27.0%
AYODHYA ZONE,EDC AKBARPUR,EDD JALALPUR,DIV324733,"rannu kha ka pura,vazidpur,usmapur nagpur, chilwaniya, jaffarpur",1278,5827,2,73,1214698.43,8153228.67,0,2,5900,11,5490,668,5017,5,0,0,0,5836190.17,358,358,1317,5894,7,5900,5515,3069,71.6%,55.6%
AYODHYA ZONE,EDC AKBARPUR,EDD-AMBEDKARNAGAR,DIV324731,"patoha ganepur,haripalpur,kalepur mahuval,tarakhurd,saidpur bhitri, jafarganj,nasirpur kaithi,sadarpur, saidapur, kakardila ,",337,8887,9,90,1383303.33,14665602.4,3,9,8846,221,8261,869,7386,12,0,5,0,4509667,2137,2137,3661,8855,711,8977,8434,1470,30.7%,17.4%
AYODHYA ZONE,EDC AKBARPUR,EDD_TANDA,DIV324732,"iltifatganj ,vidhut nagar,makhdumpur,kedar nagar",48,6142,1,83,864697.72,8017791.79,0,0,6225,92,5938,1705,5930,3,0,5,0,3343383,825,825,1836,6196,1329,6225,6152,1944,41.7%,31.6%
AYODHYA ZONE,EDC AKBARPUR,EDD_TANDA,DIV324732,"vidyut nagar, makhdoomnagar, khairpur",609,2384,0,48,608299.4400000001,5546669.86,0,0,2432,18,2295,110,2063,4,0,39,0,1656180,202,202,967,2432,544,2432,2282,838,29.9%,36.7%
AYODHYA ZONE,EDC AYODHYA,EDD-AYODHYA DHAM AYODHYA,DIV324611,"devkali village, sidharath nagar, mirzapur,deen dayal nagar, dhani ram ka purva, sriswtipuram phase-2 , adard nagar, saketpuri, sahajahapur",22,3561,3,240,1761043.8699999999,13471779.32,0,6,3801,9,3770,1492,3360,5,0,7,0,12382696,5,5,367,3801,0,3801,3636,2449,91.9%,67.4%
AYODHYA ZONE,EDC AYODHYA,EDD-AYODHYA DHAM AYODHYA,DIV324611,"ghusiyana, durgapuri, jogitara, tribhavan nagar, janeura, patel nagar, naka chugi, gandhi nagar, hanumat nagar, girijapuram, krishana nagar, gulab nagar, tilak nagar, brahman tola",1055,3373,10,226,2827550.7,35772473.44,0,13,3599,16,3470,914,3067,28,0,10,0,12151851.82,45,45,737,3429,9,3599,3390,1950,34.0%,57.5%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"bahamani thola , fayadpur , pachghara ,lohargali , mahaveer marga, sai abazar",475,1220,2,13,294900.05,2259585.83,0,0,1198,5,1201,89,1026,6,0,6,0,1123175.83,20,20,261,1232,77,1233,1147,493,49.7%,43.0%
